日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
廣告,Cards Direct Sales_信用卡行銷業務_新竹(無經驗完整培訓_保障底薪_無上限獎金),花旗(台灣) 商業銀行股份有限公司,新竹縣竹北市文平路130號5樓,"23,800","1.透過在據點或是以親訪、電話方式開發客戶 (百貨影城)2.提供客戶信用卡產品諮詢、辦理、售後服務並維繫客戶關係，達成客戶需求。3.保障薪資和無上限業績獎金我們是有膽識又有活力的團隊 ，我們享受信用卡帶來的生活便利，消費折扣  我們熱衷分享好康優惠，更有強烈企圖心挑戰高薪和職涯信用卡是挑戰業務職涯的叩門磚，客戶無須任何花費即可享有商品帶來的便利和優惠讓客戶在消費時不需花時間找零，並可記錄下每筆的消費紀錄電影 / 吃飯 /  逛街購物  / 交通 ，信用卡帶給生活更時尚簡單透過一週完整的業務教育訓練，我們堅信能帶著夥伴一起創新前行無須相關銀行經驗，無須金融證照，不限科系獨立，喜愛與人互動態度誠懇，反應靈敏，條理清晰強烈企圖心、不怕被拒絕，想透過努力得到同等報酬享有專業培訓及完整輔導機制想快速挑戰高薪 【花旗銀行正職福利享不完】 全方位完整訓練(新人/進階/在職/管理)  一年兩次國/內外獎勵員工旅遊競賽 優於勞基法,當年度享有年假特休11-22天 夥伴推薦獎金最高3萬元 本薪保障14個月 旅遊津貼 春酒/尾牙/月獎勵/季獎勵/部門聚餐/慶生會/電影日/運動會 二年全方位職涯發展 服務年資賀禮勞保、健保、團保、勞退新制 完全保障 優惠父母醫療險 行員房屋貸款 行員信用貸款 行員換匯優惠 哺乳室設備 免費健康檢查生日Early Home  信用卡免年費",新竹縣竹北市,經歷不拘,專科,外商公司,4fng8,www.104.com.tw/job/4fng8?jobsource=hotjob_chr
廣告,Branch Universal Sales_全方位金融服務專員_台北(無經驗可_完整培訓_週休二日),花旗(台灣) 商業銀行股份有限公司,台北市中山區德惠街9號,"26,000",1.透過駐點花旗分行開發客戶，提供信用卡 / 信用貸款 / 銀行帳戶，針對客戶需求推薦最適當商品，並運用多元銷售模式-面銷Walk in客戶 / 電銷分行既有客戶名單 / 陌生拜訪分行區域客戶。2.工作經驗不拘免證照，只要你有熱情，願意與人溝通，就有機會進入業務團隊，創造屬於自己的薪水3.一個月帶薪紮實教育訓練課程(產品銷售訓練和分行實習) 4.難得的分行工作機會，多次的產品銷售機會，多元的銷售模式，除了可以提升自我業務能力，還能增加金融市場的知識.兩年職涯輪調機制，多元橫向發展機會6.豐富的市場廣告推播與分行據點開發資源(Walk in客人、既有存戶名單)7.保障薪資(底薪14個月)和無上限業績獎金8.首年享額外年假11天,台北市中山區,經歷不拘,專科,外商公司,3w4bi,www.104.com.tw/job/3w4bi?jobsource=hotjob_chr
廣告,網站、行動數位通路(Web/APP Product Manager)企劃,玉山銀行_玉山商業銀行股份有限公司,台北市松山區民生東路三段115號,待遇面議,1.與團隊研究國內外最新的金融科技趨勢、關鍵技術發展與監管政策，提出數位通路發展之企劃方案。 2.參與、制定與執行網站、行動APP等數位通路之企劃、專案管理，及使用者體驗與研究，規劃線上服務。 3.協調內部資源並進行跨單位溝通，以專案管理模式推動通路企劃之執行。 ,台北市松山區,3年以上,大學,上市上櫃,4jz5y,www.104.com.tw/job/4jz5y?jobsource=hotjob_chr
廣告,（消費金融處）授信審查專員,喬美國際網路股份有限公司,台北市南港區忠孝東路六段21號12樓之7,"28,000",【工作範疇】（１）《台灣資金交易所》的會員註冊／認證／額度申請/對保之徵信審核作業。（２）負責異業合作廠商之消費分期案件，徵信審核與管理作業。（３）二胎房貸案件資料蒐集整理。（ 4 ）為內勤職務。【工作技能】（１）基本行政文書作業，程度中等以上。（２）網路使用熟稔，搜尋正確資訊能力強，且能內化者為佳！（３）具製作統計報表編制及分析之能力。【職缺條件】（１）具二年以上金融業消金或資融公司徵授信相關工作經驗者佳。（２）擅溝通且具耐心，喜歡與人互動接觸，思考邏輯清晰，能獨立作業。（３）曾參與信用風控模型建置或大數據分析經驗者尤佳。,台北市南港區,2年以上,專科,員工35人,4q4je,www.104.com.tw/job/4q4je?jobsource=hotjob_chr
廣告,（企劃處）Fintech金融顧問管理專員,喬美國際網路股份有限公司,台北市南港區忠孝東路六段21號12樓之7,"26,000",【工作內容】1.金融講座專案活動執行2.產學合作類專案執行3.舉辦校園，育成中心講座4.推廣TFE台灣資金交易所理念.校園社團活動贊助、拜訪事宜6.校園社團合作與校園大使團隊養成7.其他主管交辦事項在校期間曾參與社團活動，活潑外向者佳,台北市南港區,經歷不拘,專科,員工35人,6yrj2,www.104.com.tw/job/6yrj2?jobsource=hotjob_chr
廣告,消費金融部-電話行銷專員(貸款業務),臺灣新光商業銀行股份有限公司,台北市松山區,"25,000",【交通便利的上班地點！】台北市松山區(近國父紀念館、京華城)【獎金優渥的滿滿荷包！】底薪25k加獎金(無上限)組織團隊合作，絕佳升遷跳板薪酬優於業界，獎金起領門檻低全新未開發之名單，被拒絕率低歡迎有電銷經驗者來電洽詢！【非派遣性質工作，錄取後即為行員，享有銀行相關員工福利，歡迎您的加入~】,台北市松山區,2年以上,專科,員工3800人,6lsv5,www.104.com.tw/job/6lsv5?jobsource=hotjob_chr
廣告,〔個金〕財務顧問FA (台北),台新金控_台新國際商業銀行股份有限公司,台北市中正區,"35,000",1.提供VIP客戶財務規劃服務 2.新VIP客戶開拓,台北市中正區,3年以上,專科,員工9000人,35lsv,www.104.com.tw/job/35lsv?jobsource=hotjob_chr
廣告,Telemarketing Sales_花旗銀行信用卡電話行銷_台北(無經驗可_週休二日_內勤_穩定底薪+獎金_有名單),花旗(台灣) 商業銀行股份有限公司,台北市中山區德惠街9號,"23,800",1.- 工作經驗不拘只要你有熱情，願意與人溝通，就有機會進入第一流的花旗銀行，創造屬於自己的薪水2.- 免證照享外商銀行完整、紮實培訓課程3.- 無經驗具強烈企圖心可 歡迎新鮮人加入4.- 公司提供優質名單開發，不需擔心客戶來源提供.- 透過電話銷售花旗銀行所提供之全系列信用卡(新客戶申辦、既有客戶加辦、升等)等，針對客戶需求推薦最適當之信用卡商品。6.- 配合公司各項行銷企劃活動，並提供來電客戶對於以上商品之電話諮詢與線上申辦服務。,台北市中山區,經歷不拘,高中,外商公司,5sy46,www.104.com.tw/job/5sy46?jobsource=hotjob_chr
廣告,風險控制管理師 Risk Management,智鈦星平台服務有限公司,台北市信義區市民大道六段288號8樓之8,"35,000",工作內容：1. 監控日常狀態，並以數據資料產出相關報告管控風險。2. 辨視異常狀況及高風險使用者，即時控管並回報事件。3. 產品相關數據試算及調整。4. 軟體更新與升級測試。. 過往事件、數據及資訊整合，修正並改善風險防範架構。6. 依據相關資料，整理日常報表及建議。7. 主管交辦事項,台北市信義區,1年以上,專科,員工70人,6wyuy,www.104.com.tw/job/6wyuy?jobsource=hotjob_chr
6/22,金融市場事業處-金融市場管理部-海外金融市場管理人員,元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),台北市松山區敦化南路一段66號,待遇面議,1.海外分子行投資項目與金融交易日常營運流程與報表檢視及規劃2.海外分子行金融市場法規研究與整理3.海外分子行會計財務報表與財務指標研究與整理4.海外分子行金融投資項目規劃與研究.海外分子行金融市場各項專案規畫與監督6.海外分子行金融,台北市松山區,2年以上,大學,上市上櫃,6db5v,www.104.com.tw/job/6db5v?jobsource=2018indexpoc
5/28,金融市場事業處-國際金融交易人才/金融商品/金融交易人員,元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),台北市松山區敦化南路一段66號,"28,000",1.債券、股權、外匯之金融交易員。2.債券、外匯之金融銷售人員。3.金融商品企劃與設計之產品人員。4.支援前述業務之經營分析及管理工作之人員。,台北市松山區,經歷不拘,大學,上市上櫃,60au9,www.104.com.tw/job/60au9?jobsource=2018indexpoc
6/22,金融市場事業處-金融市場管理部-資產負債管理人員,元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),台北市松山區敦化南路一段66號,待遇面議,1.負責資產負債管理分析2.會計財務報表與財務指標研究與整理3.金融業相關法規研究與整理4.作業系統參數資料維護.日常報表產出,台北市松山區,2年以上,大學,上市上櫃,6z5px,www.104.com.tw/job/6z5px?jobsource=2018indexpoc
7/06,金融風險分析人員 Risk  Analysis,香港商烽泰科技有限公司,台北市松山區南京東路五段,"35,000",1. 日常交易工作和市場風險處理。2. 監控報價管道和銀行報價。3. 有效辨別並管理違規客戶的交易行為。4.分析各類交易策略及行為。. 調查並解決訂單執行的各類問題。6. 對各類金融衍生品等公司風險進行監控和有效的管理。,台北市松山區,1年以上,大學,員工88人,6gbtc,www.104.com.tw/job/6gbtc?jobsource=2018indexpoc
7/07,市場風險管理人員(風險管理處),日盛金融控股股份有限公司,台北市中山區南京東路二段85號10樓,"35,000",1.孰悉各項衍生性商品架構與運作。2.金融商品相關業務規範之審視與修/制定。3.定期或不定期市場風險風險分析報告之製作、監控與分析。,台北市中山區,經歷不拘,碩士,上市上櫃,4mzar,www.104.com.tw/job/4mzar?jobsource=2018indexpoc
6/30,期權夜盤交易人員(新金融商品處),日盛金融控股股份有限公司,台北市中山區南京東路2段111號7樓,待遇面議,1.衍生性金融商品交易及研究，須熟悉選擇權評價及應用2.具期權交易經驗，有高頻或造市交易能力尤佳3.初期以夜盤交易為主，工作時段為22:00-05:00，並配合部門研究或交易所需調整4.輪值夜班時有夜班津貼,台北市中山區,經歷不拘,大學,上市上櫃,6xf77,www.104.com.tw/job/6xf77?jobsource=2018indexpoc
6/17,金融商品資深交易員(凱基證券債券部),中華開發金融控股股份有限公司(凱基證券)(凱基銀行),台北市中山區明水路700號,待遇面議,1. 快速分析全球總體經濟情勢，政策及產業變化2. 判斷全球各主要金融市場趨勢3. 開發交易策略及工具4. 交易績效分析,台北市中山區,經歷不拘,大學,上市上櫃,6z0dd,www.104.com.tw/job/6z0dd?jobsource=2018indexpoc
6/20,金融商品資深交易員(凱基證券債券部),中華開發金融控股股份有限公司(凱基證券)(凱基銀行),台北市中山區明水路700號,待遇面議,1. 快速分析全球總體經濟情勢，政策及產業變化2. 判斷全球各主要金融市場趨勢3. 開發交易策略及工具4. 交易績效分析,台北市中山區,經歷不拘,大學,上市上櫃,6z3yg,www.104.com.tw/job/6z3yg?jobsource=2018indexpoc
7/01,金融企劃專員/金融企劃副理,台灣資料科學股份有限公司,台北市中山區民權東路2段26號2樓之5,待遇面議,工作內容： 1.蒐集、整理並分析金融市場資料(包含原物料、外匯、股市與債市)，從中尋找交易機會。2. 每日撰寫分析評論、相關社群維繫 3. 依據營運策略，利用各類管道開展新社群 4.有證券相關工作及媒體行銷解盤經驗 ＂者佳＂,台北市中山區,經歷不拘,大學,員工60人,6v2m5,www.104.com.tw/job/6v2m5?jobsource=2018indexpoc
7/07,金融財經編輯(具備金融相關證照佳),盈德網絡服務有限公司,台北市松山區八德路四段760號9樓之1,"30,000",1.熟悉貴金屬、外匯與國際股市分析及研究。 2.對總體經濟及國際發展研究見解具備深入淺出的解說能力。3.投資報告及交易策略撰寫(包含日報、週報、月報、季報或其他) 。4.提供各項投資商品操作建議與實際交易。 .各班別工作任務略有不同，每月均分以下時段輪班：早班08:00-17:00；午班11:00-20:00；晚班14:00-23:00,台北市松山區,經歷不拘,大學,員工340人,6mod5,www.104.com.tw/job/6mod5?jobsource=2018indexpoc
6/12,元大銀行-法人金融業務部-法金管理組經辦,元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),台北市松山區台灣地區,待遇面議,法金業務管理 (工作內容依部門需求調派)：1.法金商品/業務手冊研議與制定。2.法金商品專案規劃及追蹤管理統計。3.協助營業單位推廣各項法金商品及專案。4.教育訓練相關事宜。.法金貸前貸後相關作業管理。,台北市松山區,2年以上,大學,上市上櫃,4hdp3,www.104.com.tw/job/4hdp3?jobsource=2018indexpoc
7/06,財富金融處-理財輔導人員-銀行(台北),永豐商業銀行股份有限公司,台北市中山區台北市中山區台北市各地依志願及職缺分派,待遇面議,一.依照目標規劃擬定財富產品銷售策略並於營業單位執行二.並依總體經濟分系市場現狀提供產品銷售引導，協助於營業單位推動銀行項各行銷專案，並運用CRM、WM系統分析，篩選客群，整合資源協助營業單位達成目標三.以產品教育訓練提供業務人員產品訊息及銷售技巧四.依據不同客戶屬性提供適當資產配置投資及資產檢視，針對重要客戶提供陪訪服務,台北市中山區,3年以上,大學,,6wmgh,www.104.com.tw/job/6wmgh?jobsource=2018indexpoc
6/11,元大銀行-金融交易作業部-作業經辦人員,元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),台北市松山區敦化南路一段66號,待遇面議,1.負責部門內部所有電腦資訊軟、硬體管理、維護與安裝，部門使用者密碼設定管理，資訊問題判斷與排除，維修廠商聯繫及報修、相關維護合約簽訂2.負責部門使用系統管理者權限設定與管理3.負責部分總務會計帳務、管理報表製作、行政文書作業4.負責執行部門資訊安全必要之規畫、管理與維護.相關公文及其它交辦事項,台北市松山區,1年以上,大學,上市上櫃,6ixls,www.104.com.tw/job/6ixls?jobsource=2018indexpoc
6/19,元大銀行-法人金融業務部-法金績效組經辦,元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),台北市松山區敦化南路一段66號,待遇面議,法人金融業務績效組經辦(工作內容依部門需求調派)：1.負責法金業務通路暨產品別之業績檢討與分析。2.編列年度財務預算及按月提供財務預估3.法金單位與人員績效考核目標擬定與考核追蹤彙整。4.其他相關績效管理專案或交辦事項。,台北市松山區,2年以上,大學,上市上櫃,3jlpv,www.104.com.tw/job/3jlpv?jobsource=2018indexpoc
7/06,財富金融處-理財輔導人員-銀行(新竹),永豐商業銀行股份有限公司,新竹市新竹市/新竹縣全區依公司分派,待遇面議,一.依照目標規劃擬定財富產品銷售策略並於營業單位執行二.並依總體經濟分系市場現狀提供產品銷售引導，協助於營業單位推動銀行項各行銷專案，並運用CRM、WM系統分析，篩選客群，整合資源協助營業單位達成目標三.以產品教育訓練提供業務人員產品訊息及銷售技巧四.依據不同客戶屬性提供適當資產配置投資及資產檢視，針對重要客戶提供陪訪服務,新竹市,3年以上,大學,,6wmi8,www.104.com.tw/job/6wmi8?jobsource=2018indexpoc
6/16,金融市場部-交易員,臺灣新光商業銀行股份有限公司,台北市信義區松仁路36號,待遇面議,1.執行國內外金融商品投資交易策略，以達成投資績效目標2.研究總體經濟、國際情勢及金融市場之狀況，並提出初步分析，以搜尋投資標的並供主管決策之參考3.完成日常交辦事務，例行性管理報表維護及投資部位管理,台北市信義區,1年以上,大學,員工3800人,6tzau,www.104.com.tw/job/6tzau?jobsource=2018indexpoc
7/06,財富金融處-理財輔導人員-銀行(高雄),永豐商業銀行股份有限公司,高雄市三民區高雄市三民區/高雄地區依公司分派,待遇面議,一.依照目標規劃擬定財富產品銷售策略並於營業單位執行二.並依總體經濟分系市場現狀提供產品銷售引導，協助於營業單位推動銀行項各行銷專案，並運用CRM、WM系統分析，篩選客群，整合資源協助營業單位達成目標三.以產品教育訓練提供業務人員產品訊息及銷售技巧四.依據不同客戶屬性提供適當資產配置投資及資產檢視，針對重要客戶提供陪訪服務,高雄市三民區,3年以上,大學,,6wmiq,www.104.com.tw/job/6wmiq?jobsource=2018indexpoc
7/02,數位金融商品規劃人員(銀行電子商務處),日盛金融控股股份有限公司,台北市中山區南京東路2段111號14樓,"30,000",1.數位產品功能規劃及專案管理2.數位平台(網銀、行動APP)服務規劃及流程優化3.拓展場景金融之異業合作4.進行競業分析及市場調查,台北市中山區,3年以上,大學,上市上櫃,573on,www.104.com.tw/job/573on?jobsource=2018indexpoc
7/06,TMU-金融商品交割清算人員,台中商業銀行股份有限公司,台北市大同區重慶北路三段198號,"32,000",1.金融商品交易訂約內容確認、交易確認書寄發及追蹤2.金融商品交易比價交割帳務處理、客戶對帳單寄發通知、保證金追繳通知等作業3.年度預算訂定、獎勵及考核相關辦法訂定、績效報表統計4.主管機關衍生性金融商品相關報表之統計申報、OTC交易,台北市大同區,2年以上,大學,上市上櫃,54bca,www.104.com.tw/job/54bca?jobsource=2018indexpoc
6/24,投資管理總處-金融研究員(另類暨專案投資部),富邦金融控股股份有限公司,台北市松山區,"30,000",職位目的 : 另類投資研究人員重要職責/工作內容 : 1. 私募基金、對沖基金及基礎建設基金等另類投資業務研究2. 配合主管其他交辦事項,台北市松山區,經歷不拘,大學,上市上櫃,6t3mu,www.104.com.tw/job/6t3mu?jobsource=2018indexpoc
5/28,元大銀行-法人金融業務人員RM(全台各分行),元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),台北市松山區全台各分行,待遇面議,1.負責法人金融業務拓展行銷及客戶維護2.洽談及受理授信案件之申請、擬具授信條件及授信案件撰寫、貸後管理3.其他法金業務相關交辦事項,台北市松山區,3年以上,大學,上市上櫃,411hc,www.104.com.tw/job/411hc?jobsource=2018indexpoc
7/05,數位金融營業員,鼎金金融科技有限公司,台北市萬華區貴陽街二段5號,"35,000",。職務內容。1. 招攬經紀業務2. 經紀業務之受託買賣3. 各項數位金融商品推廣4. 服務客戶(產品介紹、接單). 客戶服務。福利制度。－保障底薪－優厚獎金－職前與在職教育訓練－工國內外旅遊補助－,台北市萬華區,經歷不拘,專科,員工15人,6yyi0,www.104.com.tw/job/6yyi0?jobsource=2018indexpoc
6/12,元大證券-風險管理部-風險管理人員,元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),台北市中山區南京東路三段225號4樓,待遇面議,一、國外業務風控執行、風險評估、主管機關法定申報作業事宜二、國外子公司市場、信用、流動性、集中度風險等各類風險之預警與陳報三、國外子公司業務風險追蹤與業務策略風險分析四、風險管理系統分析、驗證與維護工作,台北市中山區,經歷不拘,大學,上市上櫃,6vsql,www.104.com.tw/job/6vsql?jobsource=2018indexpoc
7/06,金融研究員,鉅鵬投資理財顧問有限公司,新竹市北區北門里北大路180號4樓之1,"25,000",1.提供有關證券、債券、市場條件、投資前途及財務狀況等擬投資之資料。2.進行海外市場研究。3.進行產業研究。4.拜訪既有客戶與潛在客戶，以建立關係、增進溝通，以利於資料的蒐集。.撰寫各項研究報告。,新竹市,經歷不拘,大學,員工10人,6ysy1,www.104.com.tw/job/6ysy1?jobsource=2018indexpoc
7/06,《海外菁英招募》金融市場交易員,永豐商業銀行股份有限公司,台北市中山區將派赴海外各分支機構 (香港、越南、中國南京、中國上海、中國廣州),待遇面議,海內外債券、外匯等金融商品交易執行,台北市中山區,5年以上,大學,,6wnaz,www.104.com.tw/job/6wnaz?jobsource=2018indexpoc
6/11,金融研究員,名江先進工業股份有限公司,台中市西區台灣大道二段2號5樓-3,待遇面議,1.證券研究分析（產業分析）。2.衍生性金融商品研究。3.協助資料收集和資料分析。4.編輯、撰寫計畫報告書。.財務報表分析。6.撰寫研究計劃書。7.執行研究計畫（如：資料收集、資料分析）。,台中市西區,6年以上,大學,員工5人,6ykb5,www.104.com.tw/job/6ykb5?jobsource=2018indexpoc
7/07,金融投資分析師,立亨網絡服務有限公司,台北市大安區光復南路102號8樓(捷運國父紀念館一號出口),"34,000", 早班時間：07:30-16:30 - 午班時間：14:00-23:00- 正常班時間：09:00-18:00具備證券分析師(CSIA)、特許金融分析師CFA、或期貨分析師等證照者佳,台北市大安區,2年以上,專科,員工120人,6ow6w,www.104.com.tw/job/6ow6w?jobsource=2018indexpoc
7/06,TMU-金融商品交割清算人員(經驗人員),台中商業銀行股份有限公司,台北市大同區重慶北路三段198號,待遇面議,1.金融商品交易訂約內容確認、交易確認書寄發及追蹤2.金融商品交易比價交割帳務處理、客戶對帳單寄發通知、保證金追繳通知等作業3.年度預算訂定、獎勵及考核相關辦法訂定、績效報表統計4.主管機關衍生性金融商品相關報表之統計申報、OTC交易,台北市大同區,2年以上,大學,上市上櫃,6icwu,www.104.com.tw/job/6icwu?jobsource=2018indexpoc
2/12,金融商品行銷人員,元富證券股份有限公司,台北市大安區敦化南路二段97號18樓,"30,000",1.衍生性金融商品行銷及推廣2.衍生性商品承做及客戶服務,台北市大安區,1年以上,大學,上市上櫃,6sxry,www.104.com.tw/job/6sxry?jobsource=2018indexpoc
7/02,交易員(新金融商品部),康和綜合證券股份有限公司,台北市信義區基隆路一段176號11樓,待遇面議,1.衍生性金融商品交易與風險管理、交易平台維護、盤後帳務工作。2.主動積極、細心負責、有工作熱忱與團隊工作精神。3.交易策略研究及開發。,台北市信義區,經歷不拘,碩士,上市上櫃,5cxgc,www.104.com.tw/job/5cxgc?jobsource=2018indexpoc
7/07,金融理財專員(彰化分公司),永豐金證券股份有限公司,彰化縣彰化市民族路532號6樓,"26,000","1. 負責證券、期貨、選擇權之開發。2. 協銷各項金融商品（如：基金、保險及結構型商品）。3. 協助客戶進行投資理財規劃。4. 提供投資理財商品的諮詢服務。. 負責法人及VIP客戶的綜合資產管理。(本薪26-35K,另依業績",彰化縣彰化市,經歷不拘,大學,員工2100人,6wpkl,www.104.com.tw/job/6wpkl?jobsource=2018indexpoc
7/07,元大證券-《研發替代役》金融科技研發人員,元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),台北市中山區南京東路3段225號8樓,"35,000", ,台北市中山區,經歷不拘,碩士,上市上櫃,5u9qy,www.104.com.tw/job/5u9qy?jobsource=2018indexpoc
7/07,數位、金融專案人員,京城商業銀行股份有限公司,台南市中西區西門路一段506號,"35,000",整體架構規劃與執行管控，協調內外部資源並進行跨單位溝通3.	對使用者體驗回饋或各項數據進行分析，並具以提出改善計畫4.	研究國內外最新數位金融(FinTech)發展議題或監管趨勢，並提出分析報告,台南市中西區,2年以上,大學,上市上櫃,6ofdk,www.104.com.tw/job/6ofdk?jobsource=2018indexpoc
7/07,金融理財專員,某商業銀行,台北市萬華區西園路,"40,000",協助客戶管理財富，開發本行潛在客戶，了解客戶理財目標，提出專業評估風險或投資建議。※需有金融相關經驗及證照(保險經驗也可),台北市萬華區,1年以上,專科,,34co5,www.104.com.tw/job/34co5?jobsource=2018indexpoc
7/06,Reserve cadres金融科技儲備幹部,普匯金融科技股份有限公司,台北市中山區松江路111號11樓之2,"30,000",具金融相關工作三年以上經驗，對金融科技有興趣者1.協助產品規劃2.管理專案開發時程3.專案合作洽接4.撰寫專案文件與資料分析.其他主管交辦,台北市中山區,3年以上,大學,員工20人,6svps,www.104.com.tw/job/6svps?jobsource=2018indexpoc
7/06,金融資料分析師(Financial Data Analyst),進遠有限公司,台北市信義區松仁路,待遇面議,工作內容：1.蒐集、整理並分析金融市場資料(包含原物料、外匯、股市與債市)，從中尋找交易機會。2.從網頁自動抓取相關資料(爬蟲)，儲存於資料庫，並建立分析工具提供交易員與研究員使用。3.運用數據分析與AI技術建立交易模型並進行回測，作,台北市信義區,2年以上,碩士,,6nqi9,www.104.com.tw/job/6nqi9?jobsource=2018indexpoc
7/07,金融理財顧問-Financial Advisor(敦南分公司),永豐金證券股份有限公司,台北市大安區安和路二段187號B1,待遇面議,1. 負責證券、期貨、選擇權之開發及接單。2. 開發財富管理客戶.協銷各項金融商品（如：基金、保險及衍生性金融商品）。3. 協助客戶進行投資理財規劃.並追求資產規模穩定成長。4. 提供投資理財商品的諮詢服務。. 遵循組織的業務擴,台北市大安區,經歷不拘,專科,員工2100人,6wl52,www.104.com.tw/job/6wl52?jobsource=2018indexpoc
7/08,金融市場事業處-金融市場管理部經辦人員,元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),台北市松山區敦化南路一段66號,待遇面議,1.交易室業務相關系統之建置、管理與維運，包含：  a. 協助系統建置及專案管理  b. 負責系統管理與日常維運2.提供交易室資訊服務，包含：  a. 業務相關應用程式及OA應用程式之安裝、更新與故障排除。  b. 資訊設備之安裝、更新與故障排除。  c. 配合執行資安政策以及辦理相關資訊3.資訊相關之服務、軟體與設備之採購評估、費用核銷、資源配置、合約管理及財產盤點。4.提供經辦工作之管理報表.其他庶務行政管理工作，以及主管交辦事項。,台北市松山區,2年以上,大學,上市上櫃,6ixmm,www.104.com.tw/job/6ixmm?jobsource=2018indexpoc
7/08,新光銀行-消費金融業務主管(中區分行),新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信),台中市西屯區西屯路三段159-75號,待遇面議,，即時採取必要的預警行動，以避免不良債權發生.落實轄下人員績效管理及培育，以提昇團隊績效管理6.須具備內控金融證照,台中市西屯區,5年以上,大學,上市上櫃,65wxn,www.104.com.tw/job/65wxn?jobsource=2018indexpoc
7/07,金融理財專員(內湖分公司),永豐金證券股份有限公司,台北市內湖區內湖路一段49號1樓,"26,000",1.從財務規劃專業角度，檢視客戶現況並確認其中、長期的財務需求，並以    股票、債券、基金和保險等全方位財富管理服務平台，提供客戶最適切的   理財服務及金融產品以滿足客戶需求，達成其理財目標。2.開發財富管理客戶，達成開戶目標，並,台北市內湖區,經歷不拘,高中,員工2100人,6wjxu,www.104.com.tw/job/6wjxu?jobsource=2018indexpoc
7/07,金融科技/財經專案執行(Account Executive),精英公關集團_精英公共關係顧問股份有限公司,台北市信義區東興路57號7樓,"35,000",【職務說明】	●每日工作 1. 監看國內金融與產業媒體，每日分析企業與競者重要動態 2. 市場熱門議題、題材分析，協助製作企業簡報 3. 了解客戶需求並協調媒體、其利益關係人及活動需求，並能與主管溝通，且發展初步解決方案 ●專,台北市信義區,經歷不拘,大學,員工200人,3w7bo,www.104.com.tw/job/3w7bo?jobsource=2018indexpoc
6/24,投資管理總處-總經策略研究人員(國外固定收益部),富邦金融控股股份有限公司,台北市松山區,待遇面議,1.總體經濟分析及主權債信研究。2.國際金融市場分析。3.經濟數據資料庫維護，處理行政事項。4.其他主管交辦事項。,台北市松山區,2年以上,碩士,上市上櫃,61865,www.104.com.tw/job/61865?jobsource=2018indexpoc
7/06,金融商品企劃專員,香港商叡誠環球資產管理有限公司台灣分公司,台北市松山區敦化北路205號5樓505室,"30,000","1、	負責金融相關產品企劃書編寫、簡報製作。2、	需有金融相關知識及基金經驗較佳。3、	各項專案規劃、執行、進度追蹤4、	與產品相關國內外供應商 / 客戶密切溝通, 確保專案順利推展 、	收集國內外產品市場訊息及情報趨勢，研究市",台北市松山區,2年以上,專科,,6rnb2,www.104.com.tw/job/6rnb2?jobsource=2018indexpoc
5/28,元大金控-元大期貨 金融科技與投資交易顧問人員(顧問事業部),元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),台北市中山區台北市南京東路三段225號11樓,"35,000",1. Multichart 程式交易策略開發、開課教學2. Python、R、API 相關專案開發、推廣3. Python 理財機器人開發、維運4. 具創新設計思維、溝通協調. 主管交辦事項,台北市中山區,1年以上,大學,上市上櫃,6q4ne,www.104.com.tw/job/6q4ne?jobsource=2018indexpoc
7/07,資深金融理財專員,某商業銀行,台北市萬華區西園路,"40,000",協助客戶管理財富，開發本行潛在客戶，了解客戶理財目標，提出專業評估風險或投資建議。※需有金融相關經驗及證照(保險經驗也可),台北市萬華區,1年以上,專科,,5ahaz,www.104.com.tw/job/5ahaz?jobsource=2018indexpoc
7/06,稽核人員-衍生性金融商品稽核人員,台中商業銀行股份有限公司,台中市西區,"32,000",1. 衍生性金融商品稽核業務。2. 具其他金融相關業務工作經驗或稽核業務者。3.配合本行派赴國外單位辦理查核。4.具金融相關工作經驗者，依薪資證明、相關證照等條件，彈性敘薪進用。,台中市西區,2年以上,大學,上市上櫃,6ue4t,www.104.com.tw/job/6ue4t?jobsource=2018indexpoc
7/01,"生活金融專業人員-品牌行銷企劃(數數發中心, DDT)",國泰金控_國泰金融控股股份有限公司,台北市信義區松仁路7號,"30,000",我們希望透過APP及點數生活圈形象的建立，接觸到更多對生活金融有所期待的用戶， 透過行銷活動貼近TA的內容策略與經營，能夠拉近與用戶的距離，創造流量的同時更傳遞了品牌真實的服務與價值。【工作內容】• 品牌經營 (APP及點數形象經營及品,台北市信義區,3年以上,大學,上市上櫃,6y2xk,www.104.com.tw/job/6y2xk?jobsource=2018indexpoc
